"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007611","BP","GO:0007611","learning or memory","39/1031","295/21306",1.24646171136589e-08,5.91162795290529e-06,4.75921744339702e-06,"Ldlr/Adrb1/Csmd1/Jph4/Mef2c/Drd4/Bdnf/Ndrg4/Map1a/Itga3/Kalrn/Grm7/Cacna1e/Bche/Synpo/Dbi/Drd1/Arc/Ptprz1/B2m/Psen2/Ntrk1/Shc3/Mme/Rcan1/Ppp1r1b/Neurod2/Asic1/Slc7a11/Ptgs2/Adcy1/Foxo6/Dbh/Ccnd2/Atp1a2/Gabra5/Fzd9/Apoe/Htr6",39
"GO:0042063","BP","GO:0042063","gliogenesis","42/1031","337/21306",1.97764299950813e-08,8.00716738477916e-06,6.44625321373826e-06,"Fgf2/Ldlr/Mycn/Csf1/Nf2/Etv5/Stat3/Dtx1/Gap43/Sox4/Efemp1/Rnf112/Dbi/Drd1/Il33/Ptprz1/Ndrg1/Serpine2/Idh2/Enpp2/Nab1/Erbb3/Dusp15/Myrf/Egr2/Dll1/Vim/Trf/Bmp2/Nab2/Gpr183/Lif/Dcx/Tspo/Sox6/Ccl2/Anxa1/Sox8/Bmp4/Arhgef10/Gpr157/Pmp22",42
"GO:0010959","BP","GO:0010959","regulation of metal ion transport","49/1031","427/21306",1.99526885187136e-08,8.00716738477916e-06,6.44625321373826e-06,"Pde4d/Cacna1g/Adrb1/Per1/Jph4/Cbarp/Drd4/Wfs1/Ace/Sik1/Gstm7/Ahnak/Cacna1b/Nol3/Mif/Kcnip2/Icam1/Dbi/Drd1/Slc30a10/B2m/Psen2/Jak3/Serpine2/Fgf11/Cxcl10/Stc2/Stac/Dpp10/Cd63/Trf/Nos1/Rapgef3/Atp1b3/Ptgs2/Mettl21c/Ptpn3/Rcvrn/Thy1/Gja1/Hfe/Tspo/Kcnj2/Bmp4/Atp1a2/Slc9a3r1/Jsrp1/F2rl3/Hpca",49
"GO:0051271","BP","GO:0051271","negative regulation of cellular component movement","41/1031","326/21306",2.24900459626352e-08,8.38075498479056e-06,6.74701378879056e-06,"Fgf2/Dusp3/Mef2c/Drd4/Dbn1/Ndrg4/Ptprr/Igfbp5/Spint2/Stat3/Mif/Sema4g/Ptprt/Drd1/Sema5b/Il33/Idh2/Slit1/Cdh1/Gadd45a/Sema6c/Apoh/Marveld3/Dnaja4/Mitf/Nbl1/Tmod3/Dcn/Cd63/Sema3d/Podn/Nos1/Cnn2/Sfrp1/Adamts9/Thy1/Cd74/Gja1/Slc9a3r1/Sema6a/Apoe",41
"GO:0070838","BP","GO:0070838","divalent metal ion transport","51/1031","467/21306",5.198307678847e-08,1.80797141070299e-05,1.45552615007716e-05,"Fgf2/Pde4d/Slc39a10/Cacna1g/Slc24a1/Adrb1/Jph4/Cbarp/Slc25a25/Drd4/Wfs1/Cacna1s/Ace/Gstm7/Ahnak/Cacna1b/Adra1a/Nol3/Panx1/Icam1/Mmgt2/Cacna1e/Anxa6/Dbi/Drd1/Nipal2/Slc30a10/Psen2/Jak3/Nmur2/Cxcl10/Stc2/Stac/Asic1/Nos1/Rapgef3/Ptgs2/Mettl21c/Mcub/Ccn2/Trpc7/Rcvrn/Thy1/Gja1/Tspo/Kcnj2/Bmp4/Atp1a2/Jsrp1/F2rl3/Hpca",51
"GO:0072511","BP","GO:0072511","divalent inorganic cation transport","51/1031","470/21306",6.38401635657353e-08,2.08158833326526e-05,1.67580429360055e-05,"Fgf2/Pde4d/Slc39a10/Cacna1g/Slc24a1/Adrb1/Jph4/Cbarp/Slc25a25/Drd4/Wfs1/Cacna1s/Ace/Gstm7/Ahnak/Cacna1b/Adra1a/Nol3/Panx1/Icam1/Mmgt2/Cacna1e/Anxa6/Dbi/Drd1/Nipal2/Slc30a10/Psen2/Jak3/Nmur2/Cxcl10/Stc2/Stac/Asic1/Nos1/Rapgef3/Ptgs2/Mettl21c/Mcub/Ccn2/Trpc7/Rcvrn/Thy1/Gja1/Tspo/Kcnj2/Bmp4/Atp1a2/Jsrp1/F2rl3/Hpca",51
"GO:0051961","BP","GO:0051961","negative regulation of nervous system development","43/1031","365/21306",6.95413536150487e-08,2.13410142241005e-05,1.71808050107767e-05,"Adcy6/Ldlr/Bmp7/Mycn/Bdnf/Spock1/Stat3/Dtx1/Efemp1/Mdga1/Sema4g/Nlgn1/Ngef/Sema5b/Jam2/H2-D1/Mylip/H2-K1/Ptprz1/B2m/Idh2/Slit1/Sema6c/Nbn/Dll1/Hey1/Neurod2/Prag1/Sema3d/Vim/Fstl4/Epha3/Wnt7b/Prtg/Thy1/Tspo/Rap1gap2/Sox8/Bmp4/Sema6a/Apoe/Sox2/Pmp22",43
"GO:0046530","BP","GO:0046530","photoreceptor cell differentiation","18/1031","84/21306",8.40036190318902e-08,2.43470489160762e-05,1.96008444407744e-05,"Nrl/Cngb1/Stat3/Nphp4/Tulp1/Cfh/Ppp2r3a/Grk1/Sdk2/Gnat1/Rp1l1/Rp1/Mfrp/Nr2e3/Dcx/Thy1/Rpe65/Sox8",18
"GO:0034765","BP","GO:0034765","regulation of ion transmembrane transport","52/1031","490/21306",9.74003074330242e-08,2.67440738883204e-05,2.15305942746685e-05,"Pde4d/Scn4a/Adrb1/Cbarp/Mef2c/Drd4/Cacna1s/Kcna2/Gstm7/Nlgn2/Ahnak/Cacna1b/Nol3/Kcnh5/Kcnip2/Cacna1e/Nlgn1/Rph3a/Kcnk13/Dbi/Drd1/Arc/Psen2/Fgf11/Cxcl10/Stac/Dpp10/Cd63/Clic6/Kcnh3/Nos1/Rapgef3/Atp1b3/Mettl21c/Ptpn3/Kcna3/Kcnd2/Shisa6/Kcnj13/Thy1/Gja1/Ccl2/Kcnj2/Bmp4/Acsl5/Atp1a2/Slc9a3r1/Jsrp1/Clic3/F2rl3/Ctss/Hpca",52
"GO:0050808","BP","GO:0050808","synapse organization","51/1031","478/21306",1.09180167748828e-07,2.84796467572817e-05,2.29278352272538e-05,"Lrrc4b/Flrt1/Mef2c/Dbn1/Igsf9/Cacna1s/Unc13a/Bdnf/Etv5/Nlgn2/Gap43/Itga3/Pcdhgc3/Ncan/Mdga1/Kalrn/Nlgn1/Synpo/Rph3a/Ngef/L1cam/Drd1/Arc/Rims4/Col4a1/Chrnb1/Sdk2/Ndrg1/Ntrk1/Plxnb2/Cdh1/Tpbg/Neurod2/Ppfia4/Abhd17c/C1ql3/Pcdh8/Slc7a11/Epha3/Wnt7b/Xlr3b/Dgkb/Lrrtm1/Shisa6/Ppfibp2/Fzd5/Nfia/Fzd9/Apoe/Drp2/Pmp22",51
"GO:0010721","BP","GO:0010721","negative regulation of cell development","44/1031","386/21306",1.27496866509085e-07,3.12972690387055e-05,2.51961912905047e-05,"Adcy6/Ldlr/Bmp7/Mycn/Bdnf/Spock1/Stat3/Dtx1/Efemp1/Sema4g/Nlgn1/Ngef/Sema5b/H2-D1/Mylip/H2-K1/Ptprz1/B2m/Idh2/S1pr3/Slit1/Rflna/Sema6c/Nbn/Dll1/Hey1/Prag1/Sema3d/Vim/Fstl4/Frzb/Epha3/Shb/Wnt7b/Prtg/Thy1/Tspo/Rap1gap2/Sox8/Bmp4/Sema6a/Apoe/Sox2/Pmp22",44
"GO:0090596","BP","GO:0090596","sensory organ morphogenesis","38/1031","309/21306",1.31980049616929e-07,3.12972690387055e-05,2.51961912905047e-05,"Fgf2/Nrl/Bmp7/Triobp/Bdnf/Stat3/Aldh1a1/Rarg/Tulp1/Tsku/Cfh/Ppp2r3a/Insig1/Grk1/Ptk7/Sdk2/Gnat1/Fzd2/Bhlhe22/Tmie/Dll1/Eya4/Dscam/Rp1/Shroom2/Frzb/Mfrp/Rs1/Rarb/Nr2e3/Thy1/Fzd5/Rpe65/Sox8/Bmp4/Slc9a3r1/Epha2/Sox2",38
"GO:0001662","BP","GO:0001662","behavioral fear response","14/1031","53/21306",1.44924865582111e-07,3.28727401626902e-05,2.6464540671516e-05,"Mef2c/Drd4/Bdnf/Kalrn/Grm7/Cacna1e/Dbi/Drd1/Neurod2/Asic1/Gja1/Atp1a2/Gabra5/Apoe",14
"GO:0050768","BP","GO:0050768","negative regulation of neurogenesis","40/1031","337/21306",1.62224644424716e-07,3.52635820818226e-05,2.83893127743253e-05,"Adcy6/Ldlr/Bmp7/Mycn/Bdnf/Spock1/Stat3/Dtx1/Efemp1/Sema4g/Nlgn1/Ngef/Sema5b/H2-D1/Mylip/H2-K1/Ptprz1/B2m/Idh2/Slit1/Sema6c/Nbn/Dll1/Hey1/Prag1/Sema3d/Vim/Fstl4/Epha3/Wnt7b/Prtg/Thy1/Tspo/Rap1gap2/Sox8/Bmp4/Sema6a/Apoe/Sox2/Pmp22",40
"GO:0002209","BP","GO:0002209","behavioral defense response","14/1031","54/21306",1.8699024812519e-07,3.77304973656407e-05,3.03753285289804e-05,"Mef2c/Drd4/Bdnf/Kalrn/Grm7/Cacna1e/Dbi/Drd1/Neurod2/Asic1/Gja1/Atp1a2/Gabra5/Apoe",14
"GO:0040013","BP","GO:0040013","negative regulation of locomotion","39/1031","326/21306",1.88037748036545e-07,3.77304973656407e-05,3.03753285289804e-05,"Fgf2/Dusp3/Mef2c/Drd4/Dbn1/Ndrg4/Ptprr/Igfbp5/Spint2/Stat3/Mif/Sema4g/Ptprt/Drd1/Sema5b/Il33/Idh2/Slit1/Cdh1/Gadd45a/Sema6c/Apoh/Marveld3/Dnaja4/Mitf/Nbl1/Dcn/Cd63/Sema3d/Podn/Cnn2/Sfrp1/Adamts9/Thy1/Cd74/Gja1/Slc9a3r1/Sema6a/Apoe",39
"GO:0061035","BP","GO:0061035","regulation of cartilage development","16/1031","71/21306",2.09218220054332e-07,4.01159947942419e-05,3.22957979942143e-05,"Pkdcc/Rarg/Efemp1/Trps1/Rflna/Wnt9a/Maf/Ccn1/Frzb/Bmp2/Rarb/Loxl2/Ccn2/Sox6/Bmp4/Runx2",16
"GO:0006816","BP","GO:0006816","calcium ion transport","46/1031","420/21306",2.15305319961429e-07,4.01159947942419e-05,3.22957979942143e-05,"Fgf2/Pde4d/Cacna1g/Slc24a1/Adrb1/Jph4/Cbarp/Slc25a25/Drd4/Wfs1/Cacna1s/Ace/Gstm7/Ahnak/Cacna1b/Adra1a/Nol3/Panx1/Icam1/Cacna1e/Anxa6/Dbi/Drd1/Psen2/Jak3/Nmur2/Cxcl10/Stc2/Stac/Asic1/Nos1/Rapgef3/Ptgs2/Mettl21c/Mcub/Ccn2/Trpc7/Rcvrn/Thy1/Gja1/Tspo/Bmp4/Atp1a2/Jsrp1/F2rl3/Hpca",46
"GO:0050890","BP","GO:0050890","cognition","39/1031","332/21306",3.02817606589069e-07,5.44758432267301e-05,4.38563430232445e-05,"Ldlr/Adrb1/Csmd1/Jph4/Mef2c/Drd4/Bdnf/Ndrg4/Map1a/Itga3/Kalrn/Grm7/Cacna1e/Bche/Synpo/Dbi/Drd1/Arc/Ptprz1/B2m/Psen2/Ntrk1/Shc3/Mme/Rcan1/Ppp1r1b/Neurod2/Asic1/Slc7a11/Ptgs2/Adcy1/Foxo6/Dbh/Ccnd2/Atp1a2/Gabra5/Fzd9/Apoe/Htr6",39
"GO:0051048","BP","GO:0051048","negative regulation of secretion","30/1031","223/21306",4.02744840364638e-07,7.00373277394105e-05,5.63842776510493e-05,"Pnkd/Midn/Cbarp/Drd4/Pfkl/Ace/Kalrn/Grm7/Il33/Idh2/Rab11fip1/Klf7/Hmox1/Tnfrsf1a/Erbb3/Hadh/Rhbdf2/Asic1/Nos1/Sfrp1/Inhbb/Lif/Npy1r/Cd74/Npvf/Gja1/Anxa1/Apoe/Anxa5/Htr6",30
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade","38/1031","325/21306",4.82009957754362e-07,8.11176112775648e-05,6.53045749215588e-05,"Fgf2/Atf3/Spry4/Dusp3/Ndrg4/Ptprr/Spred2/Adra1a/Mif/Dusp4/Acta2/Icam1/Timp3/Spred3/L1cam/Slc30a10/Cd44/Akap12/Dusp6/Dusp15/Ccn1/Ezr/Trf/Bmp2/Pycard/Gpr183/Ccn2/Lif/Cd74/Ccl2/Bmp4/Zfp36l1/Ackr3/Slc9a3r1/Sema6a/Apoe/Epha2/Glipr2",38
"GO:0061448","BP","GO:0061448","connective tissue development","34/1031","275/21306",5.27493913180465e-07,8.59979920332027e-05,6.92335761049361e-05,"Fgf2/Bmp7/Mkx/Slc25a25/Mef2c/Mycn/Csf1/Pkdcc/Rarg/Efemp1/Lncpint/Arid5a/Cnmd/Anxa6/Csgalnact1/Trps1/Serpinh1/Klf7/Rflna/Wnt9a/Maf/Ccn1/Sh3pxd2b/Frzb/Bmp2/Wnt7b/Rarb/Loxl2/Ccn2/Sox6/Creb5/Sox8/Bmp4/Runx2",34
"GO:0001503","BP","GO:0001503","ossification","43/1031","393/21306",5.4786509198676e-07,8.66124904513615e-05,6.97282844346786e-05,"Fgf2/Alpl/Bmp7/Mef2c/Csf1/Noct/Trp53inp2/Pkdcc/Igfbp5/Dchs1/Dhh/Cebpb/Cnmd/Csgalnact1/Chrdl1/Nab1/Rflna/Gpm6b/Ddr2/Col1a2/Egr2/Hey1/Klf10/Glis1/Cebpd/Ccn1/Sh3pxd2b/Mmp14/Bmp2/Ptgs2/Wnt7b/Nab2/Sfrp1/Ccn2/Mn1/Gja1/Sox8/Bmp4/Runx2/Dhrs3/Fzd9/Epha2/Sox2",43
"GO:0032330","BP","GO:0032330","regulation of chondrocyte differentiation","13/1031","51/21306",6.33687892261474e-07,9.7233815703768e-05,7.82790925734762e-05,"Pkdcc/Rarg/Efemp1/Trps1/Rflna/Wnt9a/Maf/Rarb/Loxl2/Ccn2/Sox6/Bmp4/Runx2",13
"GO:1901342","BP","GO:1901342","regulation of vasculature development","40/1031","356/21306",6.86702213910255e-07,0.000100717943536071,8.10840258484758e-05,"Fgf2/Bmp7/Rhoj/Stat1/Stat3/Vash2/E2f2/F3/Cnmd/Ntrk1/Enpp2/Hmox1/Tnfrsf1a/Cxcl10/Gadd45a/Apoh/Jcad/Dll1/Hey1/Dcn/Col4a3/Adm/Gab1/Stab1/Rapgef3/Cth/Adamts1/Ptgs2/Adam12/Lif/Adamts9/Tlr3/Ptgis/Pgf/Ccl2/Anxa1/Ccbe1/Bmp4/Sema6a/Epha2",40
"GO:1903531","BP","GO:1903531","negative regulation of secretion by cell","27/1031","193/21306",6.95005935844078e-07,0.000100717943536071,8.10840258484758e-05,"Pnkd/Midn/Cbarp/Drd4/Pfkl/Kalrn/Grm7/Il33/Idh2/Rab11fip1/Klf7/Hmox1/Tnfrsf1a/Hadh/Rhbdf2/Asic1/Nos1/Sfrp1/Inhbb/Lif/Npy1r/Npvf/Gja1/Anxa1/Apoe/Anxa5/Htr6",27
"GO:0060711","BP","GO:0060711","labyrinthine layer development","14/1031","60/21306",7.61897878118726e-07,0.00010742760081474,8.64857050837473e-05,"Bmp7/Ncoa3/Spint2/Vash2/Plcd1/Plcd3/Socs3/Hey1/Ccn1/Adm/Gab1/Wnt7b/Fzd5/Zfp36l1",14
"GO:0009583","BP","GO:0009583","detection of light stimulus","13/1031","52/21306",8.07723230995664e-07,0.000110891897265905,8.92746728995208e-05,"Cngb1/Guca1b/Tulp1/Grk1/Sema5b/Gnat1/Pde6b/Rho/Gnb1/Rs1/Rcvrn/Gucy2f/Rpe65",13
"GO:0070372","BP","GO:0070372","regulation of ERK1 and ERK2 cascade","36/1031","308/21306",9.66572322722453e-07,0.000129297636093411,0.000104092403985495,"Fgf2/Atf3/Spry4/Dusp3/Ndrg4/Ptprr/Spred2/Adra1a/Mif/Dusp4/Acta2/Icam1/Timp3/Spred3/L1cam/Slc30a10/Cd44/Akap12/Dusp6/Dusp15/Ccn1/Ezr/Bmp2/Pycard/Gpr183/Ccn2/Lif/Cd74/Ccl2/Bmp4/Ackr3/Slc9a3r1/Sema6a/Apoe/Epha2/Glipr2",36
"GO:0045682","BP","GO:0045682","regulation of epidermis development","16/1031","81/21306",1.39278504408134e-06,0.000181653989374309,0.000146242429628541,"Grhl1/Ncoa3/Mafg/Mycn/Etv4/Klf7/Nab1/Inhba/Dll1/Hey1/Maff/Zfp36/Mycl/Nab2/Bmp4/Zfp36l1",16
"GO:0051924","BP","GO:0051924","regulation of calcium ion transport","33/1031","275/21306",1.51355335039274e-06,0.000192590434853633,0.000155046928576818,"Pde4d/Cacna1g/Adrb1/Jph4/Cbarp/Drd4/Wfs1/Ace/Gstm7/Ahnak/Cacna1b/Nol3/Icam1/Dbi/Drd1/Psen2/Jak3/Cxcl10/Stc2/Stac/Nos1/Rapgef3/Ptgs2/Mettl21c/Rcvrn/Thy1/Gja1/Tspo/Bmp4/Atp1a2/Jsrp1/F2rl3/Hpca",33
"GO:0045604","BP","GO:0045604","regulation of epidermal cell differentiation","13/1031","55/21306",1.61278950247944e-06,0.000198181018498365,0.000159547685967632,"Grhl1/Ncoa3/Mafg/Mycn/Etv4/Klf7/Dll1/Hey1/Maff/Zfp36/Mycl/Bmp4/Zfp36l1",13
"GO:0030856","BP","GO:0030856","regulation of epithelial cell differentiation","23/1031","155/21306",1.63346440395432e-06,0.000198181018498365,0.000159547685967632,"Fgf2/Grhl1/Ncoa3/Mafg/Mycn/Spred2/Cebpb/Spred3/Etv4/S1pr3/Klf7/Tnfrsf1a/Dll1/Hey1/Maff/Zfp36/Mycl/Frzb/F11r/Lif/Bmp4/Zfp36l1/Sox2",23
"GO:0042461","BP","GO:0042461","photoreceptor cell development","14/1031","65/21306",2.13741300595972e-06,0.000251724358755815,0.000202653307796516,"Nrl/Cngb1/Nphp4/Tulp1/Cfh/Grk1/Gnat1/Rp1l1/Rp1/Mfrp/Nr2e3/Dcx/Thy1/Rpe65",14
"GO:0009314","BP","GO:0009314","response to radiation","42/1031","400/21306",2.17128544067696e-06,0.000251724358755815,0.000202653307796516,"Per1/Cngb1/Ndrg4/Sik1/Guca1b/Uaca/Tulp1/Casp7/Grk1/Plk3/Bcl3/Cacna1e/Cryab/Synpo/Drd1/Sema5b/Gnat1/Apobec1/Pde6b/Mme/Gadd45a/Ppp1r1b/Rho/Fbxl21/Rp1/Slc7a11/Gnb1/Rs1/Bmf/Sfrp1/Cdc25a/Ticrr/Rcvrn/Gucy2f/Dbh/Rpe65/Ccnd2/Anxa1/Rad18/Atp1a2/Mfap4/Fbxl8",42
"GO:0045765","BP","GO:0045765","regulation of angiogenesis","36/1031","320/21306",2.38007188204698e-06,0.00026993119583998,0.000217310910969507,"Fgf2/Rhoj/Stat1/Stat3/Vash2/E2f2/F3/Cnmd/Ntrk1/Enpp2/Hmox1/Tnfrsf1a/Cxcl10/Gadd45a/Apoh/Jcad/Dll1/Dcn/Col4a3/Adm/Gab1/Stab1/Rapgef3/Adamts1/Ptgs2/Adam12/Lif/Adamts9/Tlr3/Ptgis/Pgf/Ccl2/Anxa1/Ccbe1/Sema6a/Epha2",36
"GO:0060713","BP","GO:0060713","labyrinthine layer morphogenesis","9/1031","27/21306",2.98798248349345e-06,0.000331666055667773,0.000267011200652607,"Bmp7/Ncoa3/Spint2/Socs3/Ccn1/Adm/Wnt7b/Fzd5/Zfp36l1",9
"GO:0009416","BP","GO:0009416","response to light stimulus","34/1031","297/21306",3.06225858014704e-06,0.000332829229429731,0.000267947625762866,"Per1/Cngb1/Ndrg4/Sik1/Guca1b/Uaca/Tulp1/Casp7/Grk1/Bcl3/Cacna1e/Synpo/Drd1/Sema5b/Gnat1/Pde6b/Mme/Ppp1r1b/Rho/Fbxl21/Rp1/Slc7a11/Gnb1/Rs1/Bmf/Cdc25a/Rcvrn/Gucy2f/Dbh/Rpe65/Rad18/Atp1a2/Mfap4/Fbxl8",34
"GO:0045665","BP","GO:0045665","negative regulation of neuron differentiation","31/1031","259/21306",3.28916991273029e-06,0.000350195906830897,0.000281928849662596,"Adcy6/Bmp7/Spock1/Dtx1/Efemp1/Sema4g/Nlgn1/Ngef/Sema5b/H2-D1/Mylip/H2-K1/Ptprz1/B2m/Slit1/Sema6c/Nbn/Dll1/Hey1/Prag1/Sema3d/Vim/Fstl4/Epha3/Thy1/Rap1gap2/Sox8/Sema6a/Apoe/Sox2/Pmp22",31
"GO:0051216","BP","GO:0051216","cartilage development","26/1031","199/21306",4.0653548391167e-06,0.000413177842719717,0.000332633110872688,"Fgf2/Bmp7/Mef2c/Mycn/Pkdcc/Rarg/Efemp1/Arid5a/Cnmd/Anxa6/Csgalnact1/Trps1/Serpinh1/Rflna/Wnt9a/Maf/Ccn1/Frzb/Bmp2/Wnt7b/Rarb/Loxl2/Ccn2/Sox6/Bmp4/Runx2",26
"GO:0002062","BP","GO:0002062","chondrocyte differentiation","18/1031","108/21306",4.10637549552725e-06,0.000413177842719717,0.000332633110872688,"Mef2c/Pkdcc/Rarg/Efemp1/Arid5a/Anxa6/Trps1/Serpinh1/Rflna/Wnt9a/Maf/Bmp2/Rarb/Loxl2/Ccn2/Sox6/Bmp4/Runx2",18
"GO:0030198","BP","GO:0030198","extracellular matrix organization","34/1031","301/21306",4.1183147060428e-06,0.000413177842719717,0.000332633110872688,"Mkx/Spint2/Pxdn/Bcl3/Myh11/Col4a1/Csgalnact1/Pdpn/Antxr1/Serpinh1/Tnfrsf1a/Fbln2/Gpm6b/Ddr2/Col1a2/Ccn1/Adamts5/Sh3pxd2b/Col4a3/Scara3/Ptx3/Nid1/Adamtsl2/Mmp14/Adamts1/Loxl2/Ccn2/Col17a1/Adamts9/Col24a1/Ctss/Mfap4/Pmp22/Crispld2",34
