"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048880","GO:0048880","sensory system development","29/509","416/21306",3.02169450657342e-07,0.000111946342616441,8.60500863087869e-05,"Fzd5/Cfh/Vim/Rxra/Chrdl1/Sox2/Fgf2/Rpe65/Epha2/Crybb2/Slc4a5/Mitf/Gja1/Col4a1/Hsf4/Maf/Rarb/Mfrp/Cryab/Ppp2r3a/Lif/Nf2/Stat3/Sdk2/Inhba/Rhoj/Rarg/Crygs/Aldh1a1",29
"GO:0043062","GO:0043062","extracellular structure organization","24/509","302/21306",3.10350881137475e-07,0.000111946342616441,8.60500863087869e-05,"Col4a3/Ddr2/Ptx3/Ctss/Ccn1/Pdpn/Antxr1/Adamts9/Tnfrsf1a/Bcl3/Spint2/Ccn2/Col4a1/Csgalnact1/Crispld2/Mmp14/Scara3/Mfap4/Pmp22/Nid1/Myh11/Adamts1/Adamts5/Mkx",24
"GO:0051216","GO:0051216","cartilage development","19/509","199/21306",3.34398541823007e-07,0.000111946342616441,8.60500863087869e-05,"Arid5a/Frzb/Bmp2/Fgf2/Ccn1/Rflna/Ccn2/Csgalnact1/Maf/Rarb/Cnmd/Efemp1/Anxa6/Mef2c/Trps1/Wnt7b/Rarg/Runx2/Pkdcc",19
"GO:1901342","GO:1901342","regulation of vasculature development","26/509","356/21306",5.15979937229266e-07,0.000160396049058698,0.000123292048158993,"Stat1/Col4a3/Ptgs2/Ptgis/Fgf2/Ntrk1/F3/Cth/Epha2/Cxcl10/Adamts9/Tnfrsf1a/Adm/Dcn/Tlr3/Hmox1/Cnmd/Lif/Ccl2/Stat3/Apoh/Rhoj/Enpp2/Adamts1/Ccbe1/Anxa1",26
"GO:0060669","GO:0060669","embryonic placenta morphogenesis","8/509","32/21306",6.37639410066704e-07,0.000173574584487709,0.000133422027259564,"Fzd5/Ncoa3/Ccn1/Spint2/Adm/Socs3/Zfp36l1/Wnt7b",8
"GO:0043010","GO:0043010","camera-type eye development","26/509","361/21306",6.72729351895458e-07,0.000173574584487709,0.000133422027259564,"Fzd5/Cfh/Vim/Rxra/Sox2/Fgf2/Rpe65/Epha2/Crybb2/Slc4a5/Mitf/Gja1/Col4a1/Hsf4/Maf/Rarb/Mfrp/Cryab/Lif/Nf2/Sdk2/Inhba/Rhoj/Rarg/Crygs/Aldh1a1",26
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","11/509","69/21306",6.78025720655115e-07,0.000173574584487709,0.000133422027259564,"B2m/Ctss/Pycard/Hfe/H2-K1/Tap1/H2-D1/H2-Q4/H2-Q6/H2-Q7/Cd74",11
"GO:0050673","GO:0050673","epithelial cell proliferation","29/509","439/21306",9.12158015440289e-07,0.000220539537955341,0.000169522700179488,"Stat1/Igfbp5/Col4a3/B2m/Bmp2/Cebpb/Sox2/Fgf2/F3/Epha2/Wnt16/Tgfa/Ccnd2/Apoe/Zfp36/Nupr1/Htra1/Gja1/Lgr5/Sfrp1/Hmox1/Cdh1/Cnmd/Ccl2/Stat3/Apoh/Mef2c/Zfp36l1/Tcf19",29
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","26/509","368/21306",9.66584070862523e-07,0.000221398625073353,0.000170183056908648,"Stat1/Nmi/Csf1/F3/Tnip2/Cxcl10/Tnfrsf1a/Axl/Pycard/Ifitm3/Jak3/Nol3/Slit3/Irgm1/Irf1/Ccl2/Stat3/Card14/Klf6/Osmr/Lifr/Parp14/Parp9/Cd74/Rps6ka4/Il33",26
"GO:0044550","GO:0044550","secondary metabolite biosynthetic process","7/509","25/21306",1.41037845690255e-06,0.000306898352221995,0.000235904354528226,"Slc7a11/Bdh2/Tyrp1/Oca2/Tyr/Pmel/Dct",7
"GO:0030278","GO:0030278","regulation of ossification","20/509","241/21306",1.53620237354004e-06,0.00031835965379268,0.000244714343013046,"Igfbp5/Ddr2/Bmp2/Cebpb/Sox2/Fgf2/Csf1/Ccn1/Dhrs3/Rflna/Fzd9/Gja1/Egr2/Sfrp1/Cnmd/Mef2c/Wnt7b/Cebpd/Runx2/Pkdcc",20
"GO:0002062","GO:0002062","chondrocyte differentiation","13/509","108/21306",1.84602157328467e-06,0.000365176631224313,0.000280701270808549,"Arid5a/Bmp2/Rflna/Ccn2/Maf/Rarb/Efemp1/Anxa6/Mef2c/Trps1/Rarg/Runx2/Pkdcc",13
"GO:0002697","GO:0002697","regulation of immune effector process","28/509","432/21306",2.03708913000201e-06,0.000385452691033424,0.000296286922432329,"Arid5a/Stat1/Fzd5/Cfh/Serping1/B2m/Ddx58/Shb/Zc3hav1/A2m/Pycard/Htra1/Tlr3/Jak3/Hmox1/Irf1/Ccl2/Hfe/Parp9/H2-K1/Tap1/H2-D1/H2-Q4/H2-Q6/H2-Q7/Cd74/Anxa1/Il33",28
"GO:0002262","GO:0002262","myeloid cell homeostasis","17/509","185/21306",2.35151031746931e-06,0.000426407204234434,0.000327767534601643,"Stat1/Cfh/Cd44/B2m/Slc7a11/Axl/Zfp36/Kitl/Jak3/Hmox1/Tmod3/Ccl2/Stat3/Inhba/Zfp36l1/Anxa1/Exoc6",17
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","8/509","38/21306",2.61370412289945e-06,0.000437493859340708,0.00033628954261435,"B2m/Hfe/H2-K1/Tap1/H2-D1/H2-Q4/H2-Q6/H2-Q7",8
"GO:0019885","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","8/509","38/21306",2.61370412289945e-06,0.000437493859340708,0.00033628954261435,"B2m/Hfe/H2-K1/Tap1/H2-D1/H2-Q4/H2-Q6/H2-Q7",8
"GO:0032330","GO:0032330","regulation of chondrocyte differentiation","9/509","51/21306",2.94405982880531e-06,0.000474538828702249,0.000364764995553344,"Rflna/Ccn2/Maf/Rarb/Efemp1/Trps1/Rarg/Runx2/Pkdcc",9
"GO:0030318","GO:0030318","melanocyte differentiation","7/509","29/21306",4.21521899206129e-06,0.00065516546619467,0.000503607742735744,"Mlph/Tyrp1/Adamts9/Mitf/Oca2/Kitl/Mef2c",7
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","8/509","41/21306",4.7952852685866e-06,0.000719068224488569,0.000552728042140255,"B2m/Hfe/H2-K1/Tap1/H2-D1/H2-Q4/H2-Q6/H2-Q7",8
"GO:0001890","GO:0001890","placenta development","16/509","175/21306",4.95681220925024e-06,0.000719068224488569,0.000552728042140255,"Fzd5/Ptgs2/Rxra/Ncoa3/Ptgis/Cebpb/Ccn1/Spint2/Adm/Htra1/Cdh1/Lif/Dlx3/Socs3/Zfp36l1/Wnt7b",16
"GO:0033555","GO:0033555","multicellular organismal response to stress","12/509","101/21306",5.26463264877927e-06,0.000739086493144754,0.000568115536768099,"Dbi/Atp1a2/Cacna1b/Ntrk1/Grm7/Apoe/Gabra5/Gja1/Nmur2/Mef2c/Tspo/Kalrn",12
"GO:0045778","GO:0045778","positive regulation of ossification","12/509","104/21306",7.15591122150438e-06,0.000951925309905051,0.000731718903559949,"Ddr2/Bmp2/Cebpb/Fgf2/Ccn1/Fzd9/Cnmd/Mef2c/Wnt7b/Cebpd/Runx2/Pkdcc",12
"GO:0060333","GO:0060333","interferon-gamma-mediated signaling pathway","6/509","21/21306",7.21818364587929e-06,0.000951925309905051,0.000731718903559949,"Stat1/Nmi/Irgm1/Irf1/Parp14/Parp9",6
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","26/509","414/21306",8.27831307601413e-06,0.00105962407372981,0.000814503992432598,"Steap3/Ptgs2/Atf3/Nacc2/Cd44/Eya2/Cth/Wfs1/Nupr1/Pycard/Tnfrsf22/Eya4/Timp3/Sfrp1/Jak3/Hmox1/Nol3/Icam1/Pmp22/Slc9a3r1/Inhba/Trps1/Ier3/Cd74/Asah2/Acsl5",26
"GO:0046890","GO:0046890","regulation of lipid biosynthetic process","16/509","184/21306",9.41322557038536e-06,0.00117046736235192,0.000899706191358938,"Dbi/Ptgs2/Bmp2/Ccn1/H6pd/Insig1/Igfbp7/Apoe/Ldlr/Tspo/Dhh/Zbtb20/Stard4/Cd74/Anxa1/Acsl5",16
"GO:0002819","GO:0002819","regulation of adaptive immune response","17/509","207/21306",1.06568602784368e-05,0.00128829599810436,0.000990277835230182,"Arid5a/Fzd5/Cd44/B2m/Pycard/Jak3/Irf1/Hfe/Mef2c/H2-K1/H2-D1/H2-Q4/H2-Q6/H2-Q7/Cd74/Anxa1/Il33",17
"GO:1903706","GO:1903706","regulation of hemopoiesis","26/509","422/21306",1.15874549129849e-05,0.00131317689977425,0.00100940310262252,"Stat1/Cd44/B2m/Cebpb/Gpr171/Csf1/Shb/Mitf/Axl/Zfp36/Kitl/Sfrp1/Jak3/Mmp14/Rbp1/Lif/Irf1/Stat3/Inhba/Mef2c/Zfp36l1/Rarg/Pim1/Eif2ak2/Cd74/Anxa1",26
"GO:0042060","GO:0042060","wound healing","23/509","349/21306",1.27261054261772e-05,0.00131317689977425,0.00100940310262252,"Cfh/F11r/Serping1/Cd44/Anxa5/Fgf2/Slc7a11/F3/Ccn1/Pdpn/Apoe/Axl/Gja1/Cnn2/Elk3/F2rl3/Hmox1/Ajuba/Anxa6/Ccl2/Apoh/Anxa1/Acta2",23
"GO:0001655","GO:0001655","urogenital system development","24/509","374/21306",1.28803068896649e-05,0.00131317689977425,0.00100940310262252,"Stat1/Col4a3/Cfh/Rxra/Cd44/Bmp2/Fgf2/Wfs1/Lgr5/Col4a1/Sfrp1/Rarb/Aph1c/Lif/Itga3/Nid1/Mef2c/Cys1/Mpst/Wnt7b/Rarg/Adamts1/Dact2/Anxa1",24
"GO:0042438","GO:0042438","melanin biosynthetic process","6/509","23/21306",1.28931650555979e-05,0.00131317689977425,0.00100940310262252,"Slc7a11/Tyrp1/Oca2/Tyr/Pmel/Dct",6
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","22/509","325/21306",1.29324734937476e-05,0.00131317689977425,0.00100940310262252,"Atf3/Cd44/Bmp2/L1cam/Fgf2/Ccn1/Epha2/Apoe/Pycard/Akap12/Ccn2/Timp3/Adra1a/Gpr183/Icam1/Trf/Lif/Ccl2/Slc9a3r1/Zfp36l1/Cd74/Acta2",22
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","24/509","375/21306",1.34605533336284e-05,0.00131317689977425,0.00100940310262252,"Arid5a/Fzd5/Cr2/Serping1/B2m/Cfi/Nbn/Bcl3/Gzmm/Jak3/Icam1/Irf1/Stat3/Hfe/Mef2c/H2-K1/C4b/H2-D1/H2-Q4/H2-Q6/H2-Q7/Cd74/Anxa1/Il33",24
"GO:0051271","GO:0051271","negative regulation of cellular component movement","22/509","326/21306",1.3566083050815e-05,0.00131317689977425,0.00100940310262252,"Igfbp5/Fgf2/Nbl1/Sema3d/Adamts9/Mitf/Apoe/Spint2/Gja1/Cnn2/Dcn/Sfrp1/Cdh1/Dnaja4/Tmod3/Stat3/Apoh/Slc9a3r1/Mef2c/Sema5b/Cd74/Il33",22
"GO:0001935","GO:0001935","endothelial cell proliferation","14/509","149/21306",1.40882401645813e-05,0.00131317689977425,0.00100940310262252,"Stat1/Col4a3/Bmp2/Fgf2/F3/Epha2/Apoe/Gja1/Hmox1/Cnmd/Ccl2/Stat3/Apoh/Mef2c",14
"GO:0048872","GO:0048872","homeostasis of number of cells","22/509","327/21306",1.4227597806925e-05,0.00131317689977425,0.00100940310262252,"Stat1/Cfh/Ildr2/Cd44/B2m/Slc7a11/Csf1/Axl/Zfp36/Kitl/Jak3/Hmox1/Gpr183/Tmod3/Ccl2/Stat3/Inhba/Mef2c/Zfp36l1/Cd74/Anxa1/Exoc6",22
"GO:0097191","GO:0097191","extrinsic apoptotic signaling pathway","18/509","234/21306",1.44945316081345e-05,0.00131317689977425,0.00100940310262252,"Atf3/Eya2/Pycard/Bag3/Tnfrsf22/Eya4/Timp3/Kitl/Sfrp1/Tlr3/Jak3/Hmox1/Nol3/Icam1/Inhba/Trps1/Il33/Acsl5",18
"GO:0002064","GO:0002064","epithelial cell development","19/509","257/21306",1.479548128583e-05,0.00131317689977425,0.00100940310262252,"F11r/Vim/Ntrk1/Epha2/Slc4a5/Tnfrsf1a/Spint2/Gja1/Cdh1/Rarb/Cnmd/Icam1/Ccm2/Slc9a3r1/S1pr3/Wnt7b/Rarg/Dact2/Onecut2",19
"GO:0001667","GO:0001667","ameboidal-type cell migration","26/509","428/21306",1.48145911116902e-05,0.00131317689977425,0.00100940310262252,"Ptgs2/Ddr2/Fgf2/Epha2/Sema3d/Adamts9/Apoe/Akap12/Gja1/Dcn/Kitl/Hmox1/Dnaja4/Anxa6/Pmp22/Itga3/Apoh/Mef2c/Arsb/Rhoj/Enpp2/Itgb7/Sema5b/Ccbe1/Anxa1/Acta2",26
"GO:0009611","GO:0009611","response to wounding","28/509","481/21306",1.5308689039847e-05,0.00131317689977425,0.00100940310262252,"Cfh/F11r/Serping1/Cd44/Anxa5/Fgf2/Slc7a11/F3/Ccn1/Pdpn/Apoe/Axl/Zfp36/Adm/Gja1/Cnn2/Elk3/F2rl3/Hmox1/Nol3/Ajuba/Anxa6/Ccl2/Apoh/Zfp36l1/Gap43/Anxa1/Acta2",28
"GO:0008630","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","12/509","112/21306",1.53887917942295e-05,0.00131317689977425,0.00100940310262252,"Steap3/Nacc2/Cd44/Epha2/Tnfrsf1a/Bcl3/Nupr1/Pycard/Hmox1/Uaca/Ier3/Cd74",12
"GO:0019882","GO:0019882","antigen processing and presentation","12/509","112/21306",1.53887917942295e-05,0.00131317689977425,0.00100940310262252,"B2m/Ctss/Pycard/Icam1/Hfe/H2-K1/Tap1/H2-D1/H2-Q4/H2-Q6/H2-Q7/Cd74",12
"GO:0002474","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","8/509","48/21306",1.63553971614256e-05,0.00136882093166393,0.0010521751453241,"B2m/Hfe/H2-K1/Tap1/H2-D1/H2-Q4/H2-Q6/H2-Q7",8
"GO:1902041","GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors","8/509","49/21306",1.91419780389891e-05,0.00157180921557888,0.00120820667741624,"Atf3/Tnfrsf22/Timp3/Sfrp1/Hmox1/Nol3/Icam1/Trps1",8
"GO:0001936","GO:0001936","regulation of endothelial cell proliferation","13/509","134/21306",2.01841701998284e-05,0.00162669460573432,0.00125039557300301,"Stat1/Col4a3/Bmp2/Fgf2/F3/Apoe/Gja1/Hmox1/Cnmd/Ccl2/Stat3/Apoh/Mef2c",13
"GO:0048771","GO:0048771","tissue remodeling","16/509","196/21306",2.07642066963747e-05,0.0016430150462295,0.0012629406484417,"Igfbp5/Ddr2/Tgm2/Ctss/Epha2/Wnt16/Mitf/Axl/Gja1/Sfrp1/Nol3/Mmp14/Trf/Lif/Klf6/Mef2c",16
"GO:0006582","GO:0006582","melanin metabolic process","6/509","25/21306",2.17194932459294e-05,0.00165391226200331,0.00127131703963006,"Slc7a11/Tyrp1/Oca2/Tyr/Pmel/Dct",6
"GO:0046426","GO:0046426","negative regulation of receptor signaling pathway via JAK-STAT","6/509","25/21306",2.17194932459294e-05,0.00165391226200331,0.00127131703963006,"Bcl3/Socs2/Nf2/Irf1/Socs3/Parp14",6
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation","14/509","155/21306",2.20420292270661e-05,0.00165391226200331,0.00127131703963006,"Klf7/F11r/Frzb/Ncoa3/Cebpb/Sox2/Fgf2/Tnfrsf1a/Zfp36/Lif/S1pr3/Grhl1/Zfp36l1/Maff",14
"GO:0048732","GO:0048732","gland development","27/509","467/21306",2.44431876449685e-05,0.00180299580730344,0.00138591347610544,"Igfbp5/Rxra/Frzb/Cd44/Bmp2/Tgm2/Ncoa3/Cebpb/Sox2/Fgf2/Csf1/Wls/Epha2/Tgfa/Tyr/Gja1/Socs2/Sfrp1/Hmox1/Cdh1/Slc9a3r1/Mpst/Rarg/Kalrn/Onecut2/Anxa1/Scd1",27
"GO:0048066","GO:0048066","developmental pigmentation","8/509","51/21306",2.59205170969696e-05,0.00187358966389832,0.00144017703944197,"Mlph/Tyrp1/Adamts9/Mitf/Oca2/Kitl/Dct/Mef2c",8
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","17/509","222/21306",2.64214423998268e-05,0.00187358966389832,0.00144017703944197,"Fzd5/Rxra/Cd44/Bmp2/Tgm2/Ncoa3/Sox2/Fgf2/Csf1/Epha2/Spint2/Adm/Col4a1/Sfrp1/Cdh1/Mmp14/Socs3",17
"GO:0006825","GO:0006825","copper ion transport","5/509","16/21306",2.67998816772607e-05,0.00187358966389832,0.00144017703944197,"Steap3/Cp/Steap2/Steap4/Mmgt2",5
"GO:0035023","GO:0035023","regulation of Rho protein signal transduction","13/509","138/21306",2.7626736953323e-05,0.00187358966389832,0.00144017703944197,"Prex2/Ngef/F11r/Fgd5/Apoe/Prag1/F2rl3/Spata13/Adra1a/Lpar6/Itga3/Arhgef28/Kalrn",13
"GO:1904893","GO:1904893","negative regulation of receptor signaling pathway via STAT","6/509","26/21306",2.7668219157584e-05,0.00187358966389832,0.00144017703944197,"Bcl3/Socs2/Nf2/Irf1/Socs3/Parp14",6
"GO:0045637","GO:0045637","regulation of myeloid cell differentiation","17/509","223/21306",2.79833015058343e-05,0.00187358966389832,0.00144017703944197,"Stat1/B2m/Cebpb/Gpr171/Csf1/Mitf/Zfp36/Kitl/Sfrp1/Rbp1/Lif/Stat3/Inhba/Mef2c/Zfp36l1/Rarg/Cd74",17
"GO:0042440","GO:0042440","pigment metabolic process","9/509","67/21306",2.94988973034773e-05,0.00194513941007171,0.00149517536890671,"Sox2/Slc7a11/Rpe65/Tyrp1/Oca2/Tyr/Pmel/Hmox1/Dct",9
"GO:0052547","GO:0052547","regulation of peptidase activity","25/509","420/21306",3.02287653108138e-05,0.00196351621839794,0.00150930111795391,"Stat1/Col4a3/Ptgs2/Serping1/Cd44/Sox2/F3/Ccn1/Dhcr24/Antxr1/A2m/Spint2/Pycard/Map3k5/Ccn2/Timp3/Nol3/Cdh1/Cryab/Uaca/Wfikkn2/Stat3/Spock1/Serpina3f/Serpina3n",25
"GO:0007266","GO:0007266","Rho protein signal transduction","15/509","181/21306",3.13822828882241e-05,0.00200846610484634,0.00154385286406774,"Prex2/Ngef/F11r/Pdpn/Fgd5/Apoe/Prag1/F2rl3/Spata13/Adra1a/Lpar6/Itga3/Arhgef28/Rhoj/Kalrn",15
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","20/509","296/21306",3.26153075001476e-05,0.00205712780058902,0.0015812577762848,"Steap3/Ptgs2/Nacc2/Cd44/Cebpb/Nbn/Epha2/Wfs1/Aldh2/Tnfrsf1a/Bcl3/Nupr1/Pycard/Map3k5/Hmox1/Nol3/Uaca/Slc9a3r1/Ier3/Cd74",20
"GO:0050931","GO:0050931","pigment cell differentiation","7/509","39/21306",3.37839504026859e-05,0.00210039645932127,0.00161451720871783,"Mlph/Tyrp1/Adamts9/Mitf/Oca2/Kitl/Mef2c",7
"GO:0001662","GO:0001662","behavioral fear response","8/509","53/21306",3.4602068573057e-05,0.00210672987414962,0.00161938553116474,"Dbi/Atp1a2/Grm7/Apoe/Gabra5/Gja1/Mef2c/Kalrn",8
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","23/509","372/21306",3.48539868885047e-05,0.00210672987414962,0.00161938553116474,"Stat1/Col4a3/B2m/Bmp2/Sox2/Fgf2/F3/Tgfa/Ccnd2/Apoe/Zfp36/Nupr1/Htra1/Gja1/Sfrp1/Hmox1/Cdh1/Cnmd/Ccl2/Stat3/Apoh/Mef2c/Zfp36l1",23
"GO:0001649","GO:0001649","osteoblast differentiation","16/509","205/21306",3.60020155808877e-05,0.00214631194257566,0.00164981118263967,"Igfbp5/Ddr2/Bmp2/Cebpb/Sox2/Fgf2/Ccn1/Glis1/Epha2/Gja1/Sfrp1/Mef2c/Wnt7b/Dhh/Cebpd/Runx2",16
"GO:0045600","GO:0045600","positive regulation of fat cell differentiation","9/509","69/21306",3.74824921857842e-05,0.00220437575665585,0.00169444324561056,"Ptgs2/Frzb/Bmp2/Cebpb/Zfp36/Sfrp1/Zfp36l1/Pim1/Zbtb7c",9
"GO:0002209","GO:0002209","behavioral defense response","8/509","54/21306",3.97799234441644e-05,0.00227792403722373,0.00175097779370574,"Dbi/Atp1a2/Grm7/Apoe/Gabra5/Gja1/Mef2c/Kalrn",8
"GO:0046148","GO:0046148","pigment biosynthetic process","8/509","54/21306",3.97799234441644e-05,0.00227792403722373,0.00175097779370574,"Sox2/Slc7a11/Rpe65/Tyrp1/Oca2/Tyr/Pmel/Dct",8
"GO:0040013","GO:0040013","negative regulation of locomotion","21/509","326/21306",4.20057953114464e-05,0.00234978468661988,0.00180621510595927,"Igfbp5/Fgf2/Nbl1/Sema3d/Adamts9/Mitf/Apoe/Spint2/Gja1/Cnn2/Dcn/Sfrp1/Cdh1/Dnaja4/Stat3/Apoh/Slc9a3r1/Mef2c/Sema5b/Cd74/Il33",21
"GO:0045669","GO:0045669","positive regulation of osteoblast differentiation","9/509","70/21306",4.2114707159088e-05,0.00234978468661988,0.00180621510595927,"Ddr2/Bmp2/Cebpb/Fgf2/Ccn1/Mef2c/Wnt7b/Cebpd/Runx2",9
"GO:0002088","GO:0002088","lens development in camera-type eye","10/509","87/21306",4.27377303541976e-05,0.0023543620569806,0.00180973360513844,"Vim/Sox2/Fgf2/Epha2/Crybb2/Gja1/Maf/Cryab/Nf2/Crygs",10
"GO:2001236","GO:2001236","regulation of extrinsic apoptotic signaling pathway","14/509","165/21306",4.42157021807476e-05,0.00240533419863267,0.00184891449382126,"Atf3/Eya2/Pycard/Tnfrsf22/Eya4/Timp3/Sfrp1/Jak3/Hmox1/Nol3/Icam1/Inhba/Trps1/Acsl5",14
"GO:0072001","GO:0072001","renal system development","21/509","331/21306",5.23344599701715e-05,0.00281184654061958,0.00216138939292014,"Stat1/Col4a3/Cfh/Cd44/Bmp2/Fgf2/Wfs1/Lgr5/Col4a1/Sfrp1/Rarb/Aph1c/Lif/Itga3/Nid1/Mef2c/Cys1/Mpst/Wnt7b/Adamts1/Dact2",21
"GO:0035094","GO:0035094","response to nicotine","6/509","29/21306",5.3717841215891e-05,0.00285097615818973,0.00219146725781902,"Atp1a2/B2m/Ntrk1/Hmox1/Chrnb4/Ppp1r1b",6
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","23/509","383/21306",5.45620335000164e-05,0.00286089120231411,0.00219908868057136,"Nmi/Serping1/Cd44/Ptgis/Anxa5/Fgf2/Nbl1/Sema3d/A2m/Tnfrsf1a/Apoe/Zfp36/Pycard/Htra1/Gja1/Ldlr/Uaca/Apoh/Socs3/Sema5b/Parp14/Tap1/Ier3",23
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","20/509","308/21306",5.69499036805898e-05,0.00294701945949103,0.00226529311200234,"Atf3/Cd44/Bmp2/L1cam/Fgf2/Ccn1/Epha2/Apoe/Pycard/Akap12/Ccn2/Timp3/Adra1a/Gpr183/Icam1/Lif/Ccl2/Slc9a3r1/Cd74/Acta2",20
"GO:0002821","GO:0002821","positive regulation of adaptive immune response","13/509","148/21306",5.75589738181841e-05,0.00294701945949103,0.00226529311200234,"Arid5a/Fzd5/Cd44/B2m/Pycard/Irf1/H2-K1/H2-D1/H2-Q4/H2-Q6/H2-Q7/Cd74/Anxa1",13
